logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-130682.02499427895,-129726.86822044669,-154960.618862907,-153502.89078420942
-26864.165310907385,-24520.83143999222,-24823.8271022512,-22759.593001639565
-12562.18862147695,-14999.71229919434,-13056.234546638629,-15805.01866809267
-299476.5773544734,-309623.7436155976,-242946.05941277454,-249845.92640820157
-92394.85530884318,-92622.95861638273,-105382.97389620382,-105761.16026503817
-16979.919164401686,-17354.44950739102,-17140.0099630027,-17681.294113181844
-24562.076472599165,-22595.82878860978,-22517.767744998157,-20838.47201683987
-15849.347184883663,-17041.942487801953,-16026.230412889605,-17284.558780486423
-13093.031260295158,-11702.02237080883,-13071.781822547315,-11648.320713896886
-9521.293458613987,-9586.290464321386,-9028.189461444304,-9046.875291892531
-18715.393495136126,-21974.565620253925,-17109.04901368527,-19840.026085162797
-4762.081224813633,-4913.399063374978,-4681.696577426307,-4788.178454502463
-111073.21468161678,-111414.66856570663,-130055.16168596598,-130810.48829914922
-21637.85729241458,-25082.810126562625,-19924.8074551826,-22812.461921983122
-383.86214934273676,-853.4427529589269,-327.658047947896,-732.1793980788368
-39080.96282484114,-36820.29785205488,-41254.7680461083,-38503.35435192851
-189950.41569677845,-195428.67515456368,-159533.59688039086,-163258.99866963967
-2608.4702688494426,-2091.008994849898,-2308.845518428879,-1857.9948245532114
-13707.566514600376,-12896.292431831816,-12523.40923243829,-11708.092074158594
-3323.668582658982,-2564.349382257562,-3006.4735025496934,-2311.0334833223687
-3869.0647286011517,-4964.681898446589,-4127.121658873707,-5143.690306998622
-129836.43832001583,-134200.1276417436,-155271.92750058338,-161716.62373574617
-437.48085094841616,-825.4366261405097,-334.87978847965854,-746.3831186262403
-1612.3473254683875,-2045.4076894289476,-1437.8366926094893,-1797.5366023599443
-33973.79235627087,-30738.594008100128,-31016.553692326044,-28222.97598318229
-56755.57814913317,-57579.82650786306,-63362.73599143204,-64567.2940757505
-17450.47520443093,-15826.182771289921,-15928.720401403702,-14500.087985100157
-79666.00415414624,-74162.23194830837,-69490.0912138997,-65182.25470930317
-52384.58846916709,-55293.612532203704,-57383.75795576715,-61271.24369644182
-24284.557667788013,-23330.073115569685,-26368.825162651177,-25332.89795091648
-10506.117366920367,-10259.799769075933,-10984.326158031969,-10721.393457275544
-38218.43403270817,-39655.227716035806,-35147.515046809254,-36186.0540716372
-27901.670270913506,-28570.635252945685,-29986.422003948912,-30880.17107242538
-41841.367759561195,-41268.71666065225,-45045.98279250259,-44455.27409412805
-2229.968220481118,-2309.4267071308186,-2104.913544390329,-2229.731752593748
-21202.082605682186,-21545.723711062954,-21793.699716638086,-22305.773669304228
-19030.994495098803,-22099.027936087383,-17430.802243996597,-19912.133845080487
-30950.26051866237,-29413.480008359264,-28673.257293833027,-27375.933904115216
-104969.28367264709,-103248.81509956592,-122796.770176938,-120208.21820543463
-16057.22795160103,-16422.542237705708,-14960.58451344906,-15223.033131739036
-22109.177548273747,-20066.09407585851,-20465.170862555817,-18546.78974555488
-33671.49844981729,-31385.584944430073,-36282.02524905065,-33637.87734636583
-7584.150593885792,-7946.358854808892,-7928.776252846584,-8346.837991218517
-155777.0716337892,-165668.2946963089,-131655.26795469748,-138620.4135377974
-10464.947317752163,-7653.033885677383,-10486.337080219295,-7822.346653137552
-36341.64760458655,-38517.575542144565,-39478.52252639479,-42181.84121487621
-33588.903190414516,-37397.20965542241,-31049.392191138642,-34181.480281638185
-122336.77266558542,-114044.53368092728,-104941.11227216547,-98533.54484575125
-18441.19974878937,-21147.705981156887,-17019.301186824003,-19371.796557389178
-152.77290159488217,-393.28941971832853,-124.03826844903415,-345.014672328898
-29727.00130266429,-30312.181107175882,-31744.54593613174,-32450.488364960485
-11927.6011009806,-12282.579029624116,-11001.022297000454,-11263.26279944854
-190162.39190074132,-187219.674033713,-159719.06403222357,-157580.80119406054
