logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-28263.720522523356,-27904.361704870305,-39362.136939487136,-38825.591623780856
-56517.17417227616,-59762.99447470216,-41480.16689088526,-43434.69762326272
-15071.629922428006,-15781.705889902058,-19001.80596211797,-20081.807622800363
-34232.34434181601,-36475.139166854,-26948.037159249936,-28520.304596132388
-20632.509146483997,-21000.6747553345,-16956.901538047478,-17097.941328015742
-20452.915130700014,-19898.747841549975,-27025.523341029006,-26019.18704132605
-128116.01661534986,-130654.03501463382,-84421.54346996562,-85122.6414567301
-4459.26331695518,-4460.049763558945,-4085.4547128329345,-4057.0088582938315
-6411.56370819467,-5416.984736769241,-5728.491772270123,-4922.842817864973
-5017.249435385952,-6358.659482026295,-4505.5799536625855,-5560.147115612887
-3776.793218173505,-3397.88890279787,-3481.423854767921,-3162.6903971278753
-4698.746365483613,-4963.685242193315,-4152.790014810662,-4354.062995277905
-119382.81123396463,-117380.10155761821,-79955.84385683948,-78616.57100812648
-3991.8525851269223,-4036.850772503928,-4411.4795541970525,-4487.439691382638
-2963.0766471677634,-3609.3304237933935,-2754.3830345295837,-3255.4911567260274
-3670.2975084374148,-3879.565375694785,-3306.6772204702424,-3433.4297161748973
-5759.357451204973,-5987.360600176639,-6634.6425478045385,-6959.635632937425
-13976.828436161923,-14310.176090698154,-17224.48391089087,-17764.863644292967
-5847.565175004882,-6278.669186530167,-6672.735634591908,-7231.140790412092
-11398.385289574902,-10735.896379033029,-13827.407832965042,-12998.890256548391
-6372.080732825958,-6388.888739530201,-7276.251743547817,-7332.417614273753
-32847.3306790121,-33086.10406217133,-25982.89744578313,-26058.942940715682
-67.11802309368086,-215.05401501217895,-71.59201310971434,-223.1581029504329
-41023.53187313405,-44489.50591866468,-31216.239539924016,-33062.71035761073
-2951.7413760628547,-3136.5746506671962,-3200.5017682310995,-3478.9573642342953
-436.1227995879926,-653.587699023359,-415.7394805320435,-638.9717778479654
-1166.7296819164417,-1160.372531749324,-1095.6313514237218,-1087.8996714580103
-110.93447681441305,-153.92548621156448,-104.36627922175406,-146.83607024128435
-18990.657593772925,-19902.371303755936,-15809.679330124773,-16235.932983746146
-50766.23899960916,-48990.01810601145,-38031.56941947215,-36953.98776400225
-12311.032199061721,-12389.126387154976,-14982.277010609494,-15153.026982679896
-1233.5858956367106,-1185.2781599124776,-1281.965670420854,-1233.387646477193
-44998.02807056425,-46236.409649663605,-34477.818447758036,-35100.502385226246
-2155.0451493560063,-2621.4131664574456,-2356.861125530899,-2906.7517379242295
-23326.595491674274,-23010.51241059424,-31243.03083807981,-30448.946371261296
-3541.4408456899114,-3205.0928312268047,-3884.7885429709704,-3477.068826117627
-28747.308001737554,-27454.124697957453,-40231.686186479754,-37831.81073843769
-2944.9556798612866,-2486.7623255451113,-3228.2041240288995,-2677.777980835791
-265.60808241788374,-352.3558978050268,-246.9471608068231,-326.02929832031094
-1101.3386311012225,-916.6949589577267,-1056.0164700804157,-882.1280884708003
-34.88603449438851,-149.28525955809002,-32.676638353157834,-150.86730538862872
